15.1 -20.13 251.379 0.374262 62.9661 0.103073 -1.27354 0.261091 4.45379 0.0754372
15.1 0 248.686 0.319556 62.8217 0.113609 5.40535 0.168397 1.45933 0.0582226
15.1 20.13 250.397 0.379287 63.5067 0.0853785 12.4785 0.273459 -1.74512 0.0533225
7.55 -40.26 325.331 0.305516 47.006 0.0894295 -10.6504 0.0767187 8.05713 0.0515145
7.55 -20.13 319.788 0.336119 46.3076 0.106791 -3.47178 0.0813947 4.84124 0.0567924
7.55 0 316.081 0.310598 46.4668 0.0992285 4.35827 0.0918955 1.7199 0.045647
7.55 20.13 317.729 0.364716 46.9497 0.111961 12.0203 0.0800475 -1.52887 0.0767808
7.55 40.26 322.719 0.335839 48.533 0.108612 19.2359 0.0799008 -4.66325 0.0539382
0 -40.26 390.465 0.30694 30.771 0.0832634 -11.079 0.0807755 8.3918 0.0470082
0 -20.13 384.411 0.286677 29.9595 0.0899472 -3.76428 0.0726484 4.8525 0.0391022
0 0 382.523 0.334278 29.7669 0.0956596 3.71079 0.0403209 1.57503 0.0285717
0 20.13 382.807 0.291755 30.7365 0.0971886 11.2849 0.0682412 -1.86467 0.0376602
0 40.26 388.548 0.314179 31.9007 0.0874239 18.6484 0.0692236 -5.38388 0.0477607
-7.55 -40.26 453.442 0.350816 13.5958 0.11587 -13.3084 0.0738542 9.36803 0.057203
-7.55 -20.13 445.944 0.31455 13.1329 0.106742 -5.36029 0.0648348 5.41879 0.0477785
-7.55 0 443.53 0.303572 13.0424 0.0941371 2.76919 0.0734004 1.66207 0.0398926
-7.55 20.13 445.588 0.282329 13.2648 0.0899591 11.0772 0.062731 -2.09603 0.0393917
-7.55 40.26 450.638 0.357706 14.9311 0.106686 18.9031 0.0712755 -6.11206 0.0512811
-15.1 -40.26 498.345 0.328912 -3.43844 0.108086 -19.7193 0.0987554 9.86243 0.073142
-15.1 -20.13 490.273 0.233815 -5.66982 0.109149 -9.7686 0.0687772 5.77314 0.0572597
-15.1 0 487.228 0.235603 -5.99527 0.117993 1.67315 0.0642901 1.68899 0.0406603
-15.1 20.13 490.218 0.233612 -5.25519 0.207805 13.2632 0.0666096 -2.55688 0.0552251
-15.1 40.26 496.937 0.262999 -2.25437 0.0872711 22.921 0.0788933 -6.76246 0.0556909
