7.55 -40.26 371.676 0.254439 46.957 0.0967721 -2.59983 0.253466
7.55 -20.13 367.391 0.206897 46.3146 0.0811709 1.55021 0.354095
7.55 0 362.938 0.245941 46.4639 0.090818 6.70843 0.228845
7.55 20.13 366.684 0.235827 47.2564 0.0927208 11.6329 0.154479
7.55 40.26 371.586 0.313657 48.3826 0.0844233 15.3816 0.118067
0 -40.26 414.558 0.156341 29.894 0.069858 1.45404 0.326358
0 -20.13 420.323 0.227259 30.6798 0.0865389 -2.99112 0.111615
0 0 411.976 0.187577 29.9459 0.0929743 5.65381 0.0716783
0 20.13 415.167 0.212772 30.7631 0.0863331 10.1419 0.11348
0 40.26 419.919 0.246893 31.9923 0.105028 13.7433 0.138433
-7.55 -40.26 465.704 0.292786 13.5162 0.0899698 -3.84754 0.0792437
-7.55 -20.13 459.302 0.24635 13.2056 0.108533 0.15524 0.0655127
-7.55 0 456.649 0.234315 13.003 0.090125 4.3491 0.06605
-7.55 20.13 460.131 0.213572 13.4681 0.0812292 9.01839 0.0728135
-7.55 40.26 465.559 0.253911 15.0842 0.161416 12.8937 0.0825935
